EventDate,CounterID,ClientIP,SearchEngineID,SearchPhrase,ResolutionWidth,Title,IsRefresh,DontCountHits
2013-07-28,25,1.159.139.230,17,Multi-tiered tertiary encryption,1920,facilitate,0,0
2013-07-09,62,169.62.93.238,11,Virtual directional definition,1280,scale,0,0
2013-07-15,10,28.54.152.163,13,Virtual zero-defect instruction set,1440,orchestrate,0,0
2013-07-18,62,14.41.119.83,16,Assimilated fault-tolerant support,1440,facilitate,0,0
2013-07-21,25,14.61.32.235,14,Balanced maximized collaboration,1536,monetize,0,0
2013-07-17,62,83.195.221.34,17,Enterprise-wide intangible infrastructure,1366,innovate,1,0
2013-07-23,99,39.20.109.51,16,Customizable empowering concept,1366,architect,0,0
2013-07-08,25,84.91.169.15,4,,1280,strategize,0,0
2013-07-04,25,88.219.220.223,10,Monitored maximized installation,1280,deploy,0,0
2013-07-28,10,167.206.66.15,9,Assimilated directional complexity,1440,enable,0,1
2013-07-17,44,209.79.80.121,2,Universal radical projection,1440,disintermediate,0,0
2013-07-01,62,105.170.198.207,12,Upgradable mobile protocol,1366,transform,0,0
2013-07-27,25,196.151.90.209,15,Proactive homogeneous attitude,1280,implement,1,0
2013-07-26,99,68.38.88.86,10,,1440,engineer,1,0
2013-07-20,62,83.121.127.25,2,,1920,morph,0,0
2013-07-09,10,164.255.170.68,3,,1536,syndicate,0,0
2013-07-11,99,130.74.93.208,17,Organic full-range workforce,1280,enhance,0,0
2013-07-03,62,167.110.252.11,12,Enhanced content-based ability,1440,visualize,0,0
2013-07-03,62,4.117.210.0,5,Enhanced mobile intranet,1440,syndicate,0,0
2013-07-17,62,8.46.110.60,9,Future-proofed intangible collaboration,1280,mesh,0,0
2013-07-03,25,178.44.158.247,13,Proactive well-modulated product,1920,disintermediate,0,0
2013-07-04,25,101.114.171.181,6,Stand-alone radical parallelism,1440,engage,0,0
2013-07-25,25,64.18.130.56,7,,1280,extend,0,0
2013-07-17,62,38.243.153.138,6,Persevering modular hardware,1440,orchestrate,0,0
2013-07-25,10,91.33.184.222,6,Pre-emptive 24/7 standardization,1536,maximize,0,0
2013-07-27,44,85.236.53.6,17,Fully-configurable stable encryption,1366,visualize,0,0
2013-07-04,10,45.107.138.86,1,Visionary web-enabled solution,1366,exploit,0,0
2013-07-01,25,136.169.42.27,17,Synergized human-resource circuit,1536,revolutionize,0,0
2013-07-17,25,92.175.160.139,10,Quality-focused contextually-based moderator,1280,extend,0,0
2013-07-04,62,18.4.62.85,16,,1280,syndicate,0,0
2013-07-14,44,79.248.228.75,7,Networked fault-tolerant secured line,1440,iterate,1,0
2013-07-11,62,24.242.28.6,15,Team-oriented asymmetric framework,1440,disintermediate,0,1
2013-07-19,62,97.211.95.74,18,,1440,extend,0,0
2013-07-10,25,192.126.162.208,19,Business-focused local installation,1920,transition,0,0
2013-07-31,62,149.191.6.130,19,Centralized transitional definition,1440,streamline,0,0
2013-07-09,44,222.53.122.56,19,De-engineered clear-thinking budgetary management,1366,productize,0,0
2013-07-22,62,149.191.6.130,15,Networked user-facing collaboration,1440,engage,0,0
2013-07-16,44,143.41.110.88,7,Mandatory zero administration monitoring,1440,expedite,0,0
2013-07-02,10,57.218.157.12,9,Reverse-engineered maximized knowledge user,1366,syndicate,0,0
2013-07-27,62,134.141.38.126,13,Diverse full-range emulation,1280,reinvent,0,0
2013-07-26,10,105.242.122.198,16,Virtual holistic framework,1366,enable,0,0
2013-07-13,10,79.222.0.209,13,Up-sized local matrix,1440,generate,0,0
2013-07-07,62,184.149.216.182,12,Compatible bandwidth-monitored standardization,1920,enhance,1,1
2013-07-13,44,212.15.225.41,7,Reactive homogeneous projection,1280,grow,0,0
2013-07-04,44,21.99.135.170,8,,1280,reinvent,0,0
2013-07-20,44,164.139.222.165,17,Innovative systematic matrix,1536,re-contextualize,1,1
2013-07-12,44,70.202.171.223,16,Customer-focused client-driven initiative,1280,whiteboard,0,0
2013-07-10,62,217.145.233.48,1,,1366,synergize,0,0
2013-07-20,62,142.197.250.36,13,,1440,orchestrate,1,0
